comparison,modality,variable,n_A,n_B,mean_A,mean_B,median_A,median_B,delta_mean,cohen_d,p_value,fdr_q
canonical_control vs ME_CFS_like_control,kegg,kegg__K01261,57,21,9.545658772031365,8.18797777425074,4.136855461770055,3.078627200586805,1.3576809977806246,0.06042568361987758,0.6276274890590439,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K13571,57,21,19.387056251116356,27.87632894315336,10.9226268929416,11.381426089348805,-8.489272692037005,-0.16412752206384273,0.6276274890590439,1.0
canonical_control vs ME_CFS_like_control,species,species__Blautia_obeum,57,21,0.0021834259990209355,0.003050509520003605,0.0012178999952498,0.0005918499937043,-0.0008670835209826696,-0.2308408266305583,0.6278454550804826,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02822,57,21,14.36972870181734,17.79326089303476,6.4747845219381,7.52533579456884,-3.4235321912174186,-0.10025758946608061,0.6280847773386604,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K11249,57,21,21.928572672729235,25.71771416466118,14.9777325221542,14.886998825310235,-3.7891414919319466,-0.12643523367412723,0.6280978180396274,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07048,57,21,22.560132993371784,41.95506823978267,7.76354673023726,9.48067228313404,-19.394935246410885,-0.18060058519391556,0.6281043378770673,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K00024,57,21,1942.204276230101,1939.112943953642,1847.8621058280698,1941.421527270165,3.0913322764590703,0.005728366125173318,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K00658,57,21,352.6958026455111,357.9637983271777,314.6991792151965,273.452005106635,-5.267995681666605,-0.025154434068724453,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K00956,57,21,1336.1815421657254,1373.5380197704262,1327.95918475842,1335.44465786128,-37.356477604700785,-0.127470392676021,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01176,57,21,1176.240017027918,1205.4496285199561,1052.8493489877567,1004.002097044598,-29.20961149203822,-0.04549264581892314,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01214,57,21,586.8716734726895,598.2706173766924,508.512310830541,638.963061451411,-11.398943904002863,-0.03683241625772138,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01246,57,21,471.40966356052616,498.46692207437616,497.24150815633567,530.464059091705,-27.05725851385,-0.17180465567604783,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01848,57,21,129.92277664612996,112.6312791206996,100.4264950247285,97.1058888466413,17.29149752543036,0.1811295130829435,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01918,57,21,825.3544929092249,835.6251638103885,818.780268052707,823.923222296256,-10.270670901163612,-0.08424936148479249,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01990,57,21,5616.421009784248,5514.771425127398,5542.283164777995,5459.8200897935,101.64958465684958,0.12080526501291994,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02067,57,21,581.0430208340774,615.7466842769905,597.440431513001,603.581380392884,-34.703663442913125,-0.1706177490780698,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02108,57,21,1282.4163884435388,1271.8635597553425,1313.359012203925,1279.13810033459,10.552828688196314,0.06447781981996596,0.6281065110802146,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02566,57,21,231.24220304341992,242.88547797306256,189.932154619189,192.17672894979,-11.643274929642644,-0.0835879208796823,0.6281065110802146,1.0
